video_id,title,description,channel_title,view_count,like_count,comment_count,atomberg_mentions,atomberg_comment_mentions,orient_mentions,orient_comment_mentions,havells_mentions,havells_comment_mentions,crompton_mentions,crompton_comment_mentions,usha_mentions,usha_comment_mentions,luminous_mentions,luminous_comment_mentions,bajaj_mentions,bajaj_comment_mentions,overall_sentiment,overall_sentiment_score,atomberg_weighted_mentions,orient_weighted_mentions,havells_weighted_mentions,crompton_weighted_mentions,usha_weighted_mentions,luminous_weighted_mentions,bajaj_weighted_mentions
X2Y8LZcbmEY,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,"#BLDCFan #SmartFan #Atomberg


Today I am unboxing one of the best smart BLDC ceiling fan in the market from Atomberg. It's a BLDC Smart Fan which saves 65% electricity and comes with smart features like voice control with Alexa and Google home, Atomberg Home Application. 

Buy links:

Renesa Smart+: 
Atomberg: https://atomberg.com/atomberg-renesa-smart-iot-enabled-ceiling-fans-with-bldc-motor-and-remote
Amazon: https://amzn.to/43HVIkX
Flipkart: https://fktr.in/108zj37

Atomberg, is the leading brand in smartfans, has combined technology with energy efficiency to create the ultimate solution.

Key features of Atomberg Renesa Smart+:

Smart Control: Control your fan with ease using the mobile app, voice assistant, or remote control.

BLDC Motor: Enjoy efficient performance and energy savings with the powerful BLDC motor.

5-Star Rated by BEE: Recognized for outstanding energy efficiency by the Bureau of Energy Efficiency (BEE)

Easy to Clean: Hassle-free maintenance with a user-friendly design.

Upgrade your home with the smart BLDC fans Atomberg the best smart fans brand from India. Watch my review video to know more about these innovative fans and transform your living space today!

Don't forget to like, comment, and subscribe for more informative content on the latest smart technology.

Smart Ceiling Fan || Alexa + Remote Controlled | Atomberg Renesa Smart+ fan Unboxing & Review

#AtombergRenesaSmart+ #BestBLDCFans #BLDCMotor #EnergyEfficiency #HomeAppliances #atomberg #Alexa #CeilingFan #AtombergFan #SmartFan #CeilingFan #voicecontrol

Telegram Group -  Telegram.me/sivastechtribelive

Twitter : https://twitter.com/Siva_Bharani 

Instagram : https://www.instagram.com/sivabharani_u/ 

Facebook Page - https://www.facebook.com/sivabharaniudayaselvan

Contact me on Telegram - https://telegram.me/sivabharani 

For Sponsors and more information contact - usbfitnesspanda@gmail.com",Siva Bharani Udaya Selvan,95763,2446,95,24,10,0,0,0,0,3,3,0,0,0,0,0,0,POSITIVE,0.999,2298312,0,0,287289,0,0,0
g3uJjG1zxd0,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,"Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds #flipkart #atomberg #smarthome #smarthomegadgets #homedecor #ceilingfan 
Atomberg Renesa smart fan |
Smart home appliances |
Smart home gadgets |
Home finds |
Amazon home finds |
Flipkart finds |
Ceiling fan |
Home improvement products |",Quirk Art for Home by Stuti,1746210,6146,35,8,4,0,0,2,2,0,0,0,0,0,0,0,0,POSITIVE,0.9867,13969680,0,3492420,0,0,0,0
nVPNjae59-s,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,"Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts 
atomberg Renesa+ 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control 
Buy Link: https://amzn.to/3K0Q5rd
https://fktr.in/21KipgH

#bldcfan #atomberg #rensaplus #atombergrensa #utpadunbox #smartfan",Utpad Unbox,2896512,24559,201,6,1,0,0,1,1,0,0,1,1,0,0,0,0,POSITIVE,0.9186,17379072,0,2896512,0,2896512,0,0
gFT688pEDYk,Atomberg BLDC Ceiling fan With remote 3in1 Led light Smart fan  #remotefan  #atombergfan #ceilingfan,,Lighting Adda,36512,155,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.743,73024,0,0,0,0,0,0
x-hGuT5Gny0,Save upto 50% Electricity with this smart ceiling Aerosense BLDC Pro fan,"Amazon Link:
https://amzn.to/4j82wQP

Website Link:
http://bit.ly/3QRYkZj

This is not just a regular ceiling fan! The Orient Aerosense BLDC Pro is a smart ceiling fan that you can control with Alexa, Google Assistant, and a remote control. 
•⁠  ⁠Aerodynamic Blades for better airflow 
•⁠  ⁠Dust-resistant finish with anti-dust blades 
•⁠  ⁠Built-in LED Light with Adjustable brightness 
•⁠  ⁠Energy Efficient, saving up to 50% on electricity bills.",Mr Techpedia,125423,3967,66,2,2,4,3,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9953,250846,501692,0,0,0,0,0
M51FK8wEg0k,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Atomberg renesa bldc smart ceiling fan ka app control kaise kare dekhiye.,Amazing Technique Gyan,3101514,15936,107,6,4,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9811,18609084,0,0,0,0,0,0
bKDxVC7uzzE,Vera Level Fan😍! - Best Fan for your house! - Havells Signia BLDC Fan Review!,@HavellsIndia Epic Signia BLDC+ Fan is 5-star rated! Buy now at https://havells.com/bldc-plus-fans  #LookUpToHavells,Geekytamizha,102503,1349,17,2,2,0,0,6,2,0,0,0,0,0,0,0,0,POSITIVE,0.9801,205006,0,615018,0,0,0,0
auGsGYXFisg,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,1360170,5668,33,4,2,0,0,2,2,0,0,0,0,0,0,0,0,POSITIVE,0.8815,5440680,0,2720340,0,0,0,0
u_kxhHjHln0,Atomberg Renesa 1400mm,"Atomberg Renesa 1400mm
mrp 3850 on atomberg website",AMARDEEP Toor,3619795,32616,399,8,5,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.958,28958360,0,0,0,0,0,0
EORIkYyM5KQ,Smart Ceiling Fan 🤔 #fansound​ #fan​ #shortvideo​ #shorts​ #viralvideo​,Smart Ceiling Fan 🤔 #fansound #fan #shortvideo #shorts #viralvideo,Asad vlog,308959,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.8402,0,0,0,0,0,0,0
